Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Average Rating
05/01/2023,Glass Onion,2022,https://boxd.it/3E888R,3,No,,04/01/2023,3.5
09/01/2023,The Menu,2022,https://boxd.it/3FMZsT,3.5,No,,08/01/2023,4
23/01/2023,Aftersun,2022,https://boxd.it/3KoURL,4,No,,22/01/2023,4.2
29/01/2023,American Beauty,1999,https://boxd.it/3Mjwtj,4.5,No,,28/01/2023,4.3
07/02/2023,All Quiet on the Western Front,2022,https://boxd.it/3PakRH,4,No,,06/02/2023,4.5
16/02/2023,La Haine,1995,https://boxd.it/3RvzGT,4.5,Yes,,15/02/2023,4.7
25/02/2023,Bullet Train,2022,https://boxd.it/3U4DGh,3.5,No,,24/02/2023,3.7
11/03/2023,Barbarian,2022,https://boxd.it/3XSZ9h,3.5,No,,10/03/2023,3.9
12/03/2023,The Whale,2022,https://boxd.it/3YdAA5,4,No,,11/03/2023,3.7
10/04/2023,Decision to Leave,2022,https://boxd.it/46eU7h,2.5,No,,09/04/2023,4
12/04/2023,The Unbearable Weight of Massive Talent,2022,https://boxd.it/46Ml9b,3,No,,11/04/2023,3.2
22/04/2023,Nope,2022,https://boxd.it/49tok1,3.5,No,,21/04/2023,3.6
21/05/2023,Terminator 2: Judgment Day,1991,https://boxd.it/4gRTJR,4,No,,20/05/2023,4.2
23/05/2023,Another Round,2020,https://boxd.it/4hm1qN,4.5,Yes,,21/05/2023,4.3
29/05/2023,White Noise,2022,https://boxd.it/4iIIyX,3.5,No,,28/05/2023,3.7
11/06/2023,Good Will Hunting,1997,https://boxd.it/4mkSJf,4.5,Yes,,10/06/2023,4.2
12/06/2023,Triangle of Sadness,2022,https://boxd.it/4mCQFr,4,No,,11/06/2023,3.9
21/06/2023,Fantastic Mr. Fox,2009,https://boxd.it/4pa5Zv,4,No,,20/06/2023,4.2
26/06/2023,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/4qqbPd,4.5,Yes,,24/06/2023,4.6
26/06/2023,Battle Royale,2000,https://boxd.it/4qzKvl,4,No,,25/06/2023,4.1
01/07/2023,The Girl with the Dragon Tattoo,2011,https://boxd.it/4rXOMd,4,No,,30/06/2023,4
04/07/2023,The Fountain,2006,https://boxd.it/4sV9t5,3,No,,03/07/2023,3.6
05/07/2023,Eighth Grade,2018,https://boxd.it/4tetzv,2.5,No,,04/07/2023,3.8
22/07/2023,Barbie,2023,https://boxd.it/4yJ3zV,3.5,No,,21/07/2023,4.1
23/07/2023,Under the Silver Lake,2018,https://boxd.it/4yWXnx,2.5,No,,22/07/2023,3.7
23/07/2023,Uncut Gems,2019,https://boxd.it/4z39Pl,4,Yes,,22/07/2023,3.9
07/08/2023,Dune,2021,https://boxd.it/4EGBDZ,4,Yes,,30/07/2023,4
07/08/2023,Oppenheimer,2023,https://boxd.it/4EGBVJ,4,No,,06/08/2023,4.3
27/08/2023,The Lord of the Rings: The Two Towers,2002,https://boxd.it/4KYHuJ,5,Yes,,26/08/2023,4.7
28/08/2023,The Lord of the Rings: The Return of the King,2003,https://boxd.it/4LjRvf,5,Yes,,27/08/2023,4.8
08/09/2023,No Country for Old Men,2007,https://boxd.it/4OD9j7,4,Yes,,07/09/2023,4.1
11/09/2023,The Prestige,2006,https://boxd.it/4PziU3,4,Yes,,10/09/2023,4
12/09/2023,28 Weeks Later,2007,https://boxd.it/4PSvmh,2.5,No,,11/09/2023,2.8
20/09/2023,Lamb,2021,https://boxd.it/4S0xkL,3.5,No,,13/09/2023,3.6
20/09/2023,The Deepest Breath,2023,https://boxd.it/4S72nj,4,No,,19/09/2023,4.1
23/09/2023,Tar,2022,https://boxd.it/4SPpEb,3.5,No,,22/09/2023,4
25/09/2023,Arrival,2016,https://boxd.it/4TnZoL,4,Yes,,24/09/2023,4.2
25/09/2023,Sicario,2015,https://boxd.it/4TqMIJ,4,Yes,,24/09/2023,4.3
04/10/2023,The Creator,2023,https://boxd.it/4Wr8ot,3,No,,03/10/2023,3.5
14/10/2023,Possession,1981,https://boxd.it/4ZxZXF,3.5,No,,13/10/2023,4
16/10/2023,Past Lives,2023,https://boxd.it/50dGgh,4,No,,15/10/2023,4.2
20/10/2023,Beau Is Afraid,2023,https://boxd.it/51u76J,4,No,,19/10/2023,3.5
23/10/2023,28 Days Later,2002,https://boxd.it/52v4it,4,Yes,,22/10/2023,4.1
24/10/2023,Suspiria,2018,https://boxd.it/52Qdlj,4,No,,23/10/2023,4
01/11/2023,Talk to Me,2022,https://boxd.it/55CQwz,3.5,No,,31/10/2023,4.2
