Watched Date,Name,Year,Letterboxd URI,Runtime (minutes),Rating,Rewatch,Average Rating,Director,Cast 1,Cast 2,Cast 3,Genre 1,Genre 2
03/01/2021,The Killing Fields,1984,https://boxd.it/1UZt5j,141,4,No,3.8,Roland Joffé,Sam Waterson,Haing S. Ngor,John Malkovich,Drama,War
05/01/2021,Soul,2020,https://boxd.it/1UZv3T,100,3.5,No,4.1,Pete Docter,Jamie Foxx,Tina Fey,Graham Norton,Family,Comedy
07/01/2021,"Crack: Cocaine, Corruption & Conspiracy",2021,https://boxd.it/1UZtC3,99,4,No,3.5,Stanley Nelson,Carl Hart,Koe Rodriguez,Nelson George,Documentary,
10/01/2021,Booksmart,2019,https://boxd.it/1UZuiD,102,3.5,No,3.9,Olivia Wilde,Beanie Feldstein,Kaitlyn Dever,Jessica Williams,Comedy,
11/01/2021,Shallow Grave,1994,https://boxd.it/1UZsSf,92,4.5,No,3.7,Danny Boyle,Kerry Fox,Christopher Eccleston,Ewan McGregor,Thriller,Crime
15/01/2021,mid90s,2018,https://boxd.it/1UZuqd,85,4.5,No,3.7,Jonah Hill,Sunny Suljic,Katerine Waterson,Lucas Hedges,Drama,Comedy
17/01/2021,Fighting with My Family,2019,https://boxd.it/1BcDz5,108,2,No,3.4,Stephen Merchant,Florence Pugh,Vince Vaughn,Nick Frost,Comedy,
18/01/2021,Trainspotting,1996,https://boxd.it/1Bgocj,94,4.5,Yes,4.1,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Drama,Crime
21/01/2021,Falling Down,1993,https://boxd.it/1BFQC5,113,3.5,No,3.6,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Thriller,Drama
30/01/2021,Pi,1998,https://boxd.it/1CVAD3,84,3,No,3.6,Darren Aronofsky,Sean Gullette,Mark Margolis,Ben Shenkman,Drama,Mystery
31/01/2021,Another Round,2020,https://boxd.it/1D6AZl,117,4.5,No,4,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Lans Ranthe,Comedy ,Drama
01/02/2021,Beautiful Boy,2018,https://boxd.it/1DgOiv,120,4,No,3.7,Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,
03/02/2021,12 Years a Slave,2013,https://boxd.it/1DxoC9,134,4,No,4.1,Steve McQueen,Chiwetel Ejiofor,Michael Fassbender,Lupita Nyong'o,History,Drama
10/02/2021,Foxcatcher,2014,https://boxd.it/1EvioZ,134,3.5,No,3.5,Bennett Miller,Steve Carell,Channing Tatum,Mark Ruffalo,Drama,Thriller
15/02/2021,Misery,1990,https://boxd.it/1FfJxh,107,4,No,3.9,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Drama,Thriller
16/02/2021,In the Name of the Father,1993,https://boxd.it/1FpQIV,133,4,No,4,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Emma Thompson,Drama,
17/02/2021,Captain Fantastic,2016,https://boxd.it/1Fy2Ox,118,3.5,No,3.9,Matt Ross,Viggo Mortensen,Samantha Isler,Annalise Basso,Drama,Adventure
18/02/2021,Malcolm & Marie,2021,https://boxd.it/1FGanZ,105,3.5,No,3,Sam Levinson,John David Washington,Zendaya,,Drama,Romance
20/02/2021,Oldboy,2003,https://boxd.it/1G375J,120,4.5,No,4.3,Park Chan-wook,Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Thriller,Drama
21/02/2021,We Need to Talk About Kevin,2011,https://boxd.it/1G90EJ,112,4.5,No,3.9,Lynne Ramsay,Tilda Swinton,John C. Reilly,Ezra Miller,Thriller,Drama
28/02/2021,As Good as It Gets,1997,https://boxd.it/1H5WNb,139,3.5,No,3.5,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Comedy ,Romance
05/03/2021,Locke,2013,https://boxd.it/1HIClz,85,3.5,No,3.6,Steven Knight,Tom Hardy,Ruth Wilson,Andrew Scott,Drama,Thriller
11/03/2021,Into the Wild,2007,https://boxd.it/1Iwv47,148,4,No,3.8,Sean Penn,Emile Hirsch,Marcia Gay Harden,William Hurt,Adventure,Drama
14/03/2021,The Master,2012,https://boxd.it/1IVI6P,150,4,No,4,Paul Thomas Anderson,Joaquin Phoenix,Philip Seymour Hoffman,Amy Adams,Drama,
15/03/2021,I Saw the Devil,2010,https://boxd.it/1J5Khl,141,3.5,No,4,Kim Jee-woon,Lee Byung-hun,Choi Min-sik,Jeon Kuk Hwan,Thriller,Horror
21/03/2021,Roma,2018,https://boxd.it/1JUaVL,135,4.5,No,4.1,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Drama,
27/03/2021,The Hunt,2012,https://boxd.it/1KGeFN,115,4.5,No,4.2,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Drama,
